"Incident ID","Incident Date",State,"City Or County",Address,"Victims Killed","Victims Injured","Suspects Killed","Suspects Injured","Suspects Arrested",Operations
2779489,"December 15, 2023",Tennessee,Memphis,"3941 Riverdale Rd",2,3,0,0,0,N/A
2779098,"December 14, 2023",Illinois,Ashland,"308 Philadelphia Rd",3,1,1,0,0,N/A
2778224,"December 12, 2023",Indiana,Madison,"1623 E Telegraph Hill Rd",4,0,0,0,0,N/A
2775971,"December 11, 2023",Nevada,"Las Vegas","7545 Oso Blanca Rd",3,1,1,0,0,N/A
2775245,"December 10, 2023",Pennsylvania,Philadelphia,"2200 block of N Chadwick St",2,2,0,0,0,N/A
2775006,"December 9, 2023",Georgia,Atlanta,"3005 Peachtree Rd NE",3,1,0,0,0,N/A
2773914,"December 6, 2023",Colorado,Peyton,"21885 Akawi Way",3,1,1,0,0,N/A
2772021,"December 6, 2023",Nevada,"Las Vegas","4505 S Maryland Pkwy",3,1,1,0,0,N/A
2771255,"December 5, 2023",Texas,Austin,"7104 Berkman Dr",6,3,0,0,1,N/A
2770296,"December 4, 2023","South Carolina",Lugoff,I-20,1,4,0,0,0,N/A
2769819,"December 3, 2023",Texas,Dallas,"9700 block of Royce Dr",4,1,1,0,0,N/A
2769728,"December 3, 2023",Texas,Houston,"4913 Griggs Rd",1,3,0,0,0,N/A
2770132,"December 3, 2023",Washington,Vancouver,"11511 NE 92nd St",4,0,1,0,0,N/A
2769880,"December 2, 2023",Ohio,Columbus,"400 block of N Ohio Ave",0,4,0,0,0,N/A
2770501,"December 2, 2023",Ohio,Cleveland,"2200 block of St Clair Ave",0,4,0,0,0,N/A
2769574,"December 2, 2023",Mississippi,Mccomb,"560 Presley Blvd",0,5,0,0,0,N/A
2769181,"December 2, 2023",California,Fresno,"4300 block of E Olive Ave",2,2,0,0,1,N/A
2769379,"December 2, 2023",Colorado,Aurora,"1300 block of Joliet St",0,4,0,0,1,N/A
2768663,"December 1, 2023",Nevada,"Las Vegas","E Charleston Blvd and N Honolulu St",1,4,0,0,0,N/A
2767813,"November 29, 2023","North Carolina",Lexington,"7000 block of NC-8",0,5,0,0,1,N/A
2767246,"November 29, 2023",Illinois,Chicago,"3600 block of W Flournoy St",1,3,0,0,1,N/A
2764105,"November 26, 2023","North Carolina","Winston Salem (Winston-salem)","3533 N Glenn Ave",0,4,0,1,1,N/A
2766505,"November 25, 2023",California,Fontana,"15500 block of Eastwind Ave",3,1,0,0,1,N/A
2763545,"November 23, 2023",Tennessee,Memphis,"2707 Kimball Ave",0,4,0,0,0,N/A
2762964,"November 23, 2023",Georgia,Decatur,"3000 block of Cascade Manor Dr",0,4,0,0,0,N/A
2762712,"November 23, 2023",Illinois,Chicago,"2000 block of W Monroe St",0,5,0,0,0,N/A
2762803,"November 22, 2023","North Carolina",Lumberton,"111 W 3rd St",0,6,0,0,1,N/A
2762681,"November 22, 2023",Mississippi,Goodman,"7213 US-51",1,3,0,0,0,N/A
2761566,"November 21, 2023",Pennsylvania,Philadelphia,"3200 block of Fairhill St",2,5,0,0,0,N/A
2760537,"November 20, 2023",Ohio,"Fairborn (Beavercreek)","3360 Pentagon Blvd",0,4,1,0,0,N/A
2760730,"November 20, 2023",Colorado,Westcliffe,"173 Rocky Ridge Rd",3,1,0,0,1,N/A
2759654,"November 19, 2023",Texas,"Port Arthur","4400 block of Griffing Dr",0,5,0,0,0,N/A
