date,variable,value,Gender,AgeRange
1948-01-01,men_20_24_rate,7.2,Men,20-24
1948-02-01,men_20_24_rate,7.4,Men,20-24
1948-03-01,men_20_24_rate,9.0,Men,20-24
1948-04-01,men_20_24_rate,7.9,Men,20-24
1948-05-01,men_20_24_rate,7.6,Men,20-24
1948-06-01,men_20_24_rate,6.9,Men,20-24
1948-07-01,men_20_24_rate,6.0,Men,20-24
1948-08-01,men_20_24_rate,6.2,Men,20-24
1948-09-01,men_20_24_rate,6.3,Men,20-24
1948-10-01,men_20_24_rate,5.6,Men,20-24
1948-11-01,men_20_24_rate,5.7,Men,20-24
1948-12-01,men_20_24_rate,6.9,Men,20-24
1949-01-01,men_20_24_rate,7.7,Men,20-24
1949-02-01,men_20_24_rate,8.5,Men,20-24
1949-03-01,men_20_24_rate,9.3,Men,20-24
1949-04-01,men_20_24_rate,9.1,Men,20-24
1949-05-01,men_20_24_rate,11.1,Men,20-24
1949-06-01,men_20_24_rate,11.0,Men,20-24
1949-07-01,men_20_24_rate,12.5,Men,20-24
1949-08-01,men_20_24_rate,12.1,Men,20-24
1949-09-01,men_20_24_rate,10.9,Men,20-24
1949-10-01,men_20_24_rate,12.4,Men,20-24
1949-11-01,men_20_24_rate,10.9,Men,20-24
1949-12-01,men_20_24_rate,9.9,Men,20-24
1950-01-01,men_20_24_rate,10.9,Men,20-24
1950-02-01,men_20_24_rate,10.8,Men,20-24
1950-03-01,men_20_24_rate,10.6,Men,20-24
1950-04-01,men_20_24_rate,9.2,Men,20-24
1950-05-01,men_20_24_rate,8.4,Men,20-24
1950-06-01,men_20_24_rate,7.5,Men,20-24
1950-07-01,men_20_24_rate,7.4,Men,20-24
1950-08-01,men_20_24_rate,7.1,Men,20-24
1950-09-01,men_20_24_rate,7.6,Men,20-24
1950-10-01,men_20_24_rate,4.3,Men,20-24
1950-11-01,men_20_24_rate,5.9,Men,20-24
1950-12-01,men_20_24_rate,4.9,Men,20-24
1951-01-01,men_20_24_rate,4.2,Men,20-24
1951-02-01,men_20_24_rate,3.9,Men,20-24
1951-03-01,men_20_24_rate,3.6,Men,20-24
1951-04-01,men_20_24_rate,3.8,Men,20-24
1951-05-01,men_20_24_rate,3.5,Men,20-24
1951-06-01,men_20_24_rate,3.9,Men,20-24
1951-07-01,men_20_24_rate,4.1,Men,20-24
1951-08-01,men_20_24_rate,3.2,Men,20-24
1951-09-01,men_20_24_rate,3.8,Men,20-24
1951-10-01,men_20_24_rate,4.2,Men,20-24
1951-11-01,men_20_24_rate,4.9,Men,20-24
1951-12-01,men_20_24_rate,3.7,Men,20-24
1952-01-01,men_20_24_rate,4.2,Men,20-24
1952-02-01,men_20_24_rate,4.1,Men,20-24
1952-03-01,men_20_24_rate,3.6,Men,20-24
1952-04-01,men_20_24_rate,4.3,Men,20-24
1952-05-01,men_20_24_rate,4.2,Men,20-24
1952-06-01,men_20_24_rate,4.4,Men,20-24
1952-07-01,men_20_24_rate,4.7,Men,20-24
1952-08-01,men_20_24_rate,5.3,Men,20-24
1952-09-01,men_20_24_rate,7.8,Men,20-24
1952-10-01,men_20_24_rate,5.2,Men,20-24
1952-11-01,men_20_24_rate,3.9,Men,20-24
1952-12-01,men_20_24_rate,5.0,Men,20-24
1953-01-01,men_20_24_rate,4.1,Men,20-24
1953-02-01,men_20_24_rate,4.1,Men,20-24
1953-03-01,men_20_24_rate,4.4,Men,20-24
1953-04-01,men_20_24_rate,5.4,Men,20-24
1953-05-01,men_20_24_rate,3.7,Men,20-24
1953-06-01,men_20_24_rate,4.3,Men,20-24
1953-07-01,men_20_24_rate,3.3,Men,20-24
1953-08-01,men_20_24_rate,4.8,Men,20-24
1953-09-01,men_20_24_rate,5.4,Men,20-24
1953-10-01,men_20_24_rate,4.0,Men,20-24
1953-11-01,men_20_24_rate,6.6,Men,20-24
1953-12-01,men_20_24_rate,10.1,Men,20-24
1954-01-01,men_20_24_rate,9.7,Men,20-24
1954-02-01,men_20_24_rate,10.7,Men,20-24
1954-03-01,men_20_24_rate,11.2,Men,20-24
1954-04-01,men_20_24_rate,10.4,Men,20-24
1954-05-01,men_20_24_rate,11.0,Men,20-24
1954-06-01,men_20_24_rate,10.5,Men,20-24
1954-07-01,men_20_24_rate,10.6,Men,20-24
1954-08-01,men_20_24_rate,11.0,Men,20-24
1954-09-01,men_20_24_rate,11.6,Men,20-24
1954-10-01,men_20_24_rate,10.9,Men,20-24
1954-11-01,men_20_24_rate,11.5,Men,20-24
1954-12-01,men_20_24_rate,10.2,Men,20-24
1955-01-01,men_20_24_rate,9.8,Men,20-24
1955-02-01,men_20_24_rate,8.0,Men,20-24
1955-03-01,men_20_24_rate,8.1,Men,20-24
1955-04-01,men_20_24_rate,8.4,Men,20-24
1955-05-01,men_20_24_rate,8.2,Men,20-24
1955-06-01,men_20_24_rate,8.1,Men,20-24
1955-07-01,men_20_24_rate,8.9,Men,20-24
1955-08-01,men_20_24_rate,7.4,Men,20-24
1955-09-01,men_20_24_rate,6.7,Men,20-24
1955-10-01,men_20_24_rate,6.2,Men,20-24
1955-11-01,men_20_24_rate,6.0,Men,20-24
1955-12-01,men_20_24_rate,5.8,Men,20-24
1956-01-01,men_20_24_rate,6.5,Men,20-24
1956-02-01,men_20_24_rate,6.3,Men,20-24
1956-03-01,men_20_24_rate,6.9,Men,20-24
1956-04-01,men_20_24_rate,7.3,Men,20-24
1956-05-01,men_20_24_rate,7.4,Men,20-24
1956-06-01,men_20_24_rate,7.2,Men,20-24
1956-07-01,men_20_24_rate,6.8,Men,20-24
1956-08-01,men_20_24_rate,7.0,Men,20-24
1956-09-01,men_20_24_rate,6.4,Men,20-24
1956-10-01,men_20_24_rate,6.8,Men,20-24
1956-11-01,men_20_24_rate,6.7,Men,20-24
1956-12-01,men_20_24_rate,7.5,Men,20-24
1957-01-01,men_20_24_rate,6.9,Men,20-24
1957-02-01,men_20_24_rate,7.2,Men,20-24
1957-03-01,men_20_24_rate,5.8,Men,20-24
1957-04-01,men_20_24_rate,6.9,Men,20-24
1957-05-01,men_20_24_rate,7.3,Men,20-24
1957-06-01,men_20_24_rate,8.5,Men,20-24
1957-07-01,men_20_24_rate,6.7,Men,20-24
1957-08-01,men_20_24_rate,7.6,Men,20-24
1957-09-01,men_20_24_rate,8.2,Men,20-24
1957-10-01,men_20_24_rate,8.7,Men,20-24
1957-11-01,men_20_24_rate,10.7,Men,20-24
1957-12-01,men_20_24_rate,10.4,Men,20-24
1958-01-01,men_20_24_rate,11.6,Men,20-24
1958-02-01,men_20_24_rate,12.7,Men,20-24
1958-03-01,men_20_24_rate,13.1,Men,20-24
1958-04-01,men_20_24_rate,13.6,Men,20-24
1958-05-01,men_20_24_rate,13.8,Men,20-24
1958-06-01,men_20_24_rate,13.8,Men,20-24
1958-07-01,men_20_24_rate,14.6,Men,20-24
1958-08-01,men_20_24_rate,13.3,Men,20-24
1958-09-01,men_20_24_rate,12.6,Men,20-24
1958-10-01,men_20_24_rate,12.5,Men,20-24
1958-11-01,men_20_24_rate,10.2,Men,20-24
1958-12-01,men_20_24_rate,10.5,Men,20-24
1959-01-01,men_20_24_rate,10.2,Men,20-24
1959-02-01,men_20_24_rate,10.3,Men,20-24
1959-03-01,men_20_24_rate,9.4,Men,20-24
1959-04-01,men_20_24_rate,7.6,Men,20-24
1959-05-01,men_20_24_rate,6.8,Men,20-24
1959-06-01,men_20_24_rate,8.4,Men,20-24
1959-07-01,men_20_24_rate,7.9,Men,20-24
1959-08-01,men_20_24_rate,7.9,Men,20-24
1959-09-01,men_20_24_rate,9.2,Men,20-24
1959-10-01,men_20_24_rate,8.7,Men,20-24
1959-11-01,men_20_24_rate,9.2,Men,20-24
1959-12-01,men_20_24_rate,8.4,Men,20-24
1960-01-01,men_20_24_rate,8.5,Men,20-24
1960-02-01,men_20_24_rate,8.4,Men,20-24
1960-03-01,men_20_24_rate,9.0,Men,20-24
1960-04-01,men_20_24_rate,8.8,Men,20-24
1960-05-01,men_20_24_rate,8.3,Men,20-24
1960-06-01,men_20_24_rate,7.8,Men,20-24
1960-07-01,men_20_24_rate,8.7,Men,20-24
1960-08-01,men_20_24_rate,8.8,Men,20-24
1960-09-01,men_20_24_rate,8.9,Men,20-24
1960-10-01,men_20_24_rate,9.2,Men,20-24
1960-11-01,men_20_24_rate,10.2,Men,20-24
1960-12-01,men_20_24_rate,11.3,Men,20-24
1961-01-01,men_20_24_rate,10.5,Men,20-24
1961-02-01,men_20_24_rate,11.1,Men,20-24
1961-03-01,men_20_24_rate,11.2,Men,20-24
1961-04-01,men_20_24_rate,12.7,Men,20-24
1961-05-01,men_20_24_rate,11.7,Men,20-24
1961-06-01,men_20_24_rate,11.1,Men,20-24
1961-07-01,men_20_24_rate,11.0,Men,20-24
1961-08-01,men_20_24_rate,10.8,Men,20-24
1961-09-01,men_20_24_rate,9.5,Men,20-24
1961-10-01,men_20_24_rate,10.1,Men,20-24
1961-11-01,men_20_24_rate,9.4,Men,20-24
1961-12-01,men_20_24_rate,9.6,Men,20-24
1962-01-01,men_20_24_rate,9.1,Men,20-24
1962-02-01,men_20_24_rate,8.7,Men,20-24
1962-03-01,men_20_24_rate,8.8,Men,20-24
1962-04-01,men_20_24_rate,8.7,Men,20-24
1962-05-01,men_20_24_rate,9.0,Men,20-24
1962-06-01,men_20_24_rate,8.4,Men,20-24
1962-07-01,men_20_24_rate,8.9,Men,20-24
1962-08-01,men_20_24_rate,10.2,Men,20-24
1962-09-01,men_20_24_rate,8.2,Men,20-24
1962-10-01,men_20_24_rate,9.1,Men,20-24
1962-11-01,men_20_24_rate,9.0,Men,20-24
1962-12-01,men_20_24_rate,8.9,Men,20-24
1963-01-01,men_20_24_rate,9.1,Men,20-24
1963-02-01,men_20_24_rate,9.0,Men,20-24
1963-03-01,men_20_24_rate,9.0,Men,20-24
1963-04-01,men_20_24_rate,8.9,Men,20-24
1963-05-01,men_20_24_rate,8.5,Men,20-24
1963-06-01,men_20_24_rate,8.8,Men,20-24
1963-07-01,men_20_24_rate,8.9,Men,20-24
1963-08-01,men_20_24_rate,8.9,Men,20-24
1963-09-01,men_20_24_rate,9.0,Men,20-24
1963-10-01,men_20_24_rate,8.5,Men,20-24
1963-11-01,men_20_24_rate,8.2,Men,20-24
1963-12-01,men_20_24_rate,8.6,Men,20-24
1964-01-01,men_20_24_rate,9.0,Men,20-24
1964-02-01,men_20_24_rate,9.0,Men,20-24
1964-03-01,men_20_24_rate,8.0,Men,20-24
1964-04-01,men_20_24_rate,7.9,Men,20-24
1964-05-01,men_20_24_rate,7.5,Men,20-24
1964-06-01,men_20_24_rate,8.0,Men,20-24
1964-07-01,men_20_24_rate,8.0,Men,20-24
1964-08-01,men_20_24_rate,7.9,Men,20-24
1964-09-01,men_20_24_rate,8.3,Men,20-24
1964-10-01,men_20_24_rate,8.9,Men,20-24
