date,men_20_24_rate,women_20_24_rate,men_25plus_rate,women_25plus_rate,men_25_34_rate,women_25_34_rate,men_35_44_rate,women_35_44_rate,men_45_54_rate,women_45_54_rate,men_55plus_rate,women_55plus_rate,20_plus_overall_rate,20_plus_men_rate,20_plus_women_rate
1948-01-01,7.2,3.4,2.5,2.7,2.6,4.3,2.1,1.8,2.3,2.1,3.0,,3.2,3.283333333333333,2.86
1948-02-01,7.4,4.5,2.6,3.7,2.7,5.1,2.5,2.6,2.6,3.3,2.9,,3.7333333333333334,3.4499999999999997,3.84
1948-03-01,9.0,5.4,2.6,3.2,2.7,3.5,2.6,3.0,2.4,3.3,2.8,,3.855555555555555,3.6833333333333336,3.6800000000000006
1948-04-01,7.9,5.0,2.8,3.5,3.2,3.8,2.7,3.5,2.5,3.1,2.9,,3.8444444444444446,3.666666666666666,3.7800000000000002
1948-05-01,7.6,4.9,2.7,3.1,2.9,3.3,2.4,3.0,2.3,2.9,3.1,,3.5999999999999996,3.5000000000000004,3.44
1948-06-01,6.9,4.6,2.4,3.5,2.5,4.2,2.3,3.3,2.2,3.1,2.8,,3.5444444444444447,3.1833333333333336,3.7400000000000007
1948-07-01,6.0,6.5,2.5,3.3,2.4,4.2,2.4,2.6,2.2,3.1,2.9,,3.5888888888888895,3.0666666666666664,3.9400000000000004
1948-08-01,6.2,4.7,2.8,4.0,3.1,4.7,2.3,4.1,2.4,3.4,3.3,,3.8000000000000003,3.3499999999999996,4.18
1948-09-01,6.3,4.1,2.9,3.6,2.8,4.9,2.6,3.0,3.2,3.2,3.4,,3.7222222222222223,3.533333333333333,3.7600000000000002
1948-10-01,5.6,4.6,2.8,3.4,3.0,4.5,2.3,3.0,2.5,3.0,3.3,,3.533333333333333,3.25,3.7
1948-11-01,5.7,4.9,3.0,3.2,3.2,4.4,2.3,3.0,2.8,2.3,3.9,,3.611111111111111,3.483333333333333,3.56
1948-12-01,6.9,5.4,3.1,3.5,2.8,4.4,2.6,3.0,3.1,3.4,4.1,,3.966666666666667,3.766666666666667,3.94
1949-01-01,7.7,5.1,3.4,3.6,3.6,4.2,2.8,3.5,3.2,3.3,3.7,,4.122222222222224,4.066666666666666,3.94
1949-02-01,8.5,5.9,3.7,3.7,3.8,4.4,3.4,3.9,3.6,3.3,4.3,,4.566666666666666,4.55,4.24
1949-03-01,9.3,5.2,4.0,3.3,4.4,3.3,3.4,4.1,3.6,3.1,4.6,,4.555555555555555,4.883333333333334,3.8
1949-04-01,9.1,6.2,4.2,4.5,4.5,5.7,3.6,4.5,3.8,3.8,4.7,,5.1000000000000005,4.983333333333333,4.9399999999999995
1949-05-01,11.1,7.1,4.8,5.0,5.3,6.1,4.3,4.9,4.5,3.9,5.4,,5.844444444444445,5.8999999999999995,5.4
1949-06-01,11.0,7.3,4.9,5.1,5.8,6.9,4.4,4.5,4.6,3.1,5.3,,5.877777777777777,6.0,5.38
1949-07-01,12.5,7.4,5.3,6.2,5.7,7.2,4.6,5.6,4.6,4.7,6.2,,6.5,6.483333333333334,6.22
1949-08-01,12.1,9.3,5.4,5.7,5.3,7.5,4.9,5.4,4.7,4.7,6.6,,6.722222222222223,6.500000000000001,6.5200000000000005
1949-09-01,10.9,9.0,5.4,5.4,5.6,6.2,5.2,5.3,4.5,4.5,6.7,,6.433333333333334,6.383333333333333,6.08
1949-10-01,12.4,9.0,6.9,5.3,8.7,7.2,6.0,5.3,6.1,4.8,6.6,,7.344444444444444,7.783333333333334,6.32
1949-11-01,10.9,8.1,5.3,5.2,5.5,6.5,5.2,4.9,4.9,4.6,5.8,,6.266666666666667,6.266666666666666,5.860000000000001
1949-12-01,9.9,8.5,5.4,5.4,5.9,6.7,4.9,5.1,5.1,4.4,5.6,,6.233333333333333,6.133333333333334,6.0200000000000005
1950-01-01,10.9,9.5,5.1,5.8,5.7,6.8,3.7,5.2,5.2,5.5,5.4,,6.433333333333334,6.0,6.56
1950-02-01,10.8,8.4,4.9,5.7,5.4,6.5,4.1,5.1,5.1,5.7,5.3,,6.266666666666667,5.933333333333334,6.28
1950-03-01,10.6,5.9,5.0,5.3,5.5,6.2,4.4,5.3,4.8,5.5,5.5,,5.966666666666667,5.966666666666666,5.64
1950-04-01,9.2,6.9,4.9,4.7,5.2,5.3,4.3,4.5,4.6,4.4,5.7,,5.566666666666667,5.650000000000001,5.160000000000001
1950-05-01,8.4,7.5,4.5,4.8,4.9,6.3,4.0,4.6,4.1,4.2,5.1,,5.455555555555556,5.166666666666667,5.48
1950-06-01,7.5,7.9,4.3,5.1,4.4,6.3,3.5,4.3,3.8,4.7,5.7,,5.344444444444445,4.866666666666667,5.66
1950-07-01,7.4,7.0,4.0,4.9,4.3,6.0,3.2,4.5,4.0,4.4,4.6,,5.044444444444445,4.583333333333333,5.359999999999999
1950-08-01,7.1,5.3,3.5,4.1,3.4,5.3,3.1,3.7,3.4,3.7,3.9,,4.322222222222222,4.066666666666666,4.42
1950-09-01,7.6,7.0,3.3,4.1,3.2,5.1,3.1,3.7,3.3,3.6,3.9,,4.5,4.066666666666666,4.7
1950-10-01,4.3,5.6,3.3,4.0,3.1,4.6,2.9,3.3,3.3,4.0,4.1,,3.9111111111111105,3.5,4.3
1950-11-01,5.9,5.5,3.1,4.6,3.0,5.8,2.7,4.0,2.9,4.3,4.0,,4.233333333333333,3.5999999999999996,4.84
1950-12-01,4.9,5.5,3.3,4.2,3.4,4.6,2.8,4.1,2.7,4.0,4.3,,4.033333333333333,3.5666666666666664,4.4799999999999995
1951-01-01,4.2,4.8,2.9,4.2,2.6,4.8,2.5,4.0,2.3,3.8,3.9,,3.6555555555555554,3.0666666666666664,4.32
1951-02-01,3.9,3.9,2.5,4.1,2.5,4.8,2.0,3.8,2.1,3.8,3.7,,3.3888888888888884,2.783333333333333,4.08
1951-03-01,3.6,5.5,2.3,3.9,2.3,5.1,1.9,3.9,2.1,3.6,3.1,,3.4555555555555557,2.55,4.4
1951-04-01,3.8,4.6,2.1,4.0,1.7,4.9,1.6,3.8,2.3,3.1,2.9,,3.1888888888888887,2.4,4.08
1951-05-01,3.5,3.9,2.1,4.0,1.9,4.5,1.6,3.8,2.2,4.0,2.8,,3.1333333333333337,2.35,4.04
1951-06-01,3.9,4.3,2.3,3.8,2.0,4.4,1.9,3.5,2.4,3.8,3.1,,3.2555555555555555,2.6,3.96
1951-07-01,4.1,4.2,2.2,3.6,2.3,3.5,1.9,3.3,2.3,3.4,2.4,,3.0444444444444443,2.5333333333333337,3.6
1951-08-01,3.2,4.1,2.4,3.4,2.4,3.9,2.1,3.2,2.5,3.4,2.3,,3.011111111111111,2.483333333333333,3.6
1951-09-01,3.8,4.8,2.4,4.1,2.5,4.8,1.9,3.9,2.9,3.7,2.4,,3.4111111111111105,2.65,4.26
1951-10-01,4.2,4.6,2.6,4.2,3.0,3.9,1.8,4.4,2.4,3.7,3.3,,3.477777777777778,2.8833333333333333,4.16
1951-11-01,4.9,4.4,2.4,4.0,2.5,4.6,2.4,3.8,2.4,3.1,2.6,,3.411111111111111,2.866666666666667,3.9800000000000004
1951-12-01,3.7,3.9,2.3,3.8,2.3,4.7,1.8,3.8,2.4,3.0,2.5,,3.1222222222222222,2.5000000000000004,3.84
1952-01-01,4.2,4.2,2.3,3.2,2.4,4.0,1.9,3.1,2.4,2.5,2.4,,3.011111111111111,2.6,3.4
1952-02-01,4.1,4.9,2.3,3.3,2.2,4.2,2.3,3.2,2.2,2.6,2.5,,3.1333333333333337,2.5999999999999996,3.6399999999999997
1952-03-01,3.6,5.4,2.2,2.5,1.9,2.9,1.9,2.6,2.6,2.3,2.6,,2.866666666666667,2.466666666666667,3.1399999999999997
1952-04-01,4.3,4.9,2.1,3.1,2.2,3.8,1.9,3.0,1.9,2.6,2.7,,3.033333333333333,2.516666666666667,3.4800000000000004
1952-05-01,4.2,4.8,2.1,3.2,1.8,4.2,1.8,2.9,2.2,2.5,2.7,,3.011111111111111,2.466666666666667,3.5200000000000005
1952-06-01,4.4,4.2,2.3,2.9,2.2,3.1,1.8,3.3,2.8,2.4,2.6,,2.9777777777777783,2.6833333333333336,3.18
1952-07-01,4.7,4.7,2.5,3.0,2.5,3.5,2.2,3.2,2.4,2.3,2.9,,3.1555555555555554,2.8666666666666667,3.34
1952-08-01,5.3,4.6,2.7,3.1,2.6,3.4,2.4,3.5,2.2,3.2,3.1,,3.3666666666666667,3.0500000000000003,3.56
1952-09-01,7.8,3.5,2.2,2.8,2.7,3.4,1.6,2.6,1.8,3.0,2.8,,3.2444444444444445,3.15,3.0599999999999996
1952-10-01,5.2,4.3,2.0,3.1,1.9,4.2,1.8,3.5,2.0,2.5,2.5,,3.0999999999999996,2.566666666666667,3.5200000000000005
1952-11-01,3.9,4.4,2.0,2.7,2.1,3.5,1.8,3.1,1.9,2.4,2.3,,2.8222222222222224,2.3333333333333335,3.22
1952-12-01,5.0,4.2,1.9,2.5,1.8,3.2,1.7,2.3,1.7,2.2,2.3,,2.7111111111111112,2.4,2.88
1953-01-01,4.1,3.9,2.5,2.5,2.6,3.3,2.1,2.0,2.4,2.2,2.8,,2.8222222222222224,2.75,2.78
